scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Pericrocotus flammeus,Ibio_12^2,-2.98504653647975,1.29724410049636,Passeriformes,Orange Minivet,scamin3,FOR,Forest,forest bird,27.33760301,23.3,1.367355921,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pericrocotus flammeus,lc_03,-4.03048161054081,1.70915263855826,Passeriformes,Orange Minivet,scamin3,FOR,Forest,forest bird,27.33760301,23.3,1.367355921,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Iole indica,bio_1,7.16872152984644,2.07245440199697,Passeriformes,Yellow-browed Bulbul,yebbul3,FOR,Forest,forest bird,15.38598123,30.6,1.485721426,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Iole indica,Ibio_1^2,-4.09511622494532,1.77627440279272,Passeriformes,Yellow-browed Bulbul,yebbul3,FOR,Forest,forest bird,15.38598123,30.6,1.485721426,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Iole indica,bio_12,3.55737444573588,1.40018748125776,Passeriformes,Yellow-browed Bulbul,yebbul3,FOR,Forest,forest bird,15.38598123,30.6,1.485721426,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Iole indica,lc_03,-8.11661388289787,3.78492558847234,Passeriformes,Yellow-browed Bulbul,yebbul3,FOR,Forest,forest bird,15.38598123,30.6,1.485721426,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Psittacula cyanocephala,bio_1,33.0915286746714,3.85387188517028,Psittaciformes,Plum-headed Parakeet,plhpar1,OC,Forest,wooded habitat and edges,50.43591699,66,1.819478128,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Psittacula cyanocephala,Ibio_1^2,-23.3689536445811,2.8733781171324,Psittaciformes,Plum-headed Parakeet,plhpar1,OC,Forest,wooded habitat and edges,50.43591699,66,1.819478128,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Psittacula cyanocephala,bio_12,10.7313700876828,1.40822216172031,Psittaciformes,Plum-headed Parakeet,plhpar1,OC,Forest,wooded habitat and edges,50.43591699,66,1.819478128,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Psittacula cyanocephala,Ibio_12^2,-7.5628739619566,1.25529423771846,Psittaciformes,Plum-headed Parakeet,plhpar1,OC,Forest,wooded habitat and edges,50.43591699,66,1.819478128,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Psittacula cyanocephala,lc_07,2.72468461074468,0.760286612920177,Psittaciformes,Plum-headed Parakeet,plhpar1,OC,Forest,wooded habitat and edges,50.43591699,66,1.819478128,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Motacilla cinerea,bio_1,4.08689763555836,1.2928257444403,Passeriformes,Grey wagtail,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motacilla cinerea,Ibio_1^2,-7.16278378628792,1.22066262530027,Passeriformes,Grey wagtail,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motacilla cinerea,bio_12,3.95982856774504,1.30572974974839,Passeriformes,Grey wagtail,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
